Date,Ratio,Coin,Type
7/15/25,0.5,Tails,No AI
7/16/25,1.5,Tails,No AI
7/17/25,0.22,Heads,AI
7/17/25,0.89,Heads,AI
7/18/25,4.5,Heads,AI
7/22/25,2,Heads,AI
7/25/25,0.75,Tails,No AI
7/28/25,0.93,Tails,No AI
7/28/25,0.75,Tails,No AI
7/29/25,3,Heads,AI
7/30/25,0.75,Tails,No AI
7/30/25,1.5,Heads,AI
7/31/25,2.25,Tails,No AI
8/1/25,1.33,Heads,AI
8/4/25,1.75,Tails,No AI
8/5/25,1.05,Heads,AI
8/5/25,1.5,Tails,No AI
8/6/25,0.6,Tails,No AI
8/6/25,0.75,Heads,AI
8/7/25,1,Tails,No AI
8/8/25,1.33,Heads,AI
8/11/25,0.75,Heads,AI
8/11/25,1.16,Heads,AI
8/12/25,0.5,Tails,No AI
8/13/25,1,Tails,No AI
8/19/25,1.25,Tails,No AI
8/20/25,1,Heads,AI
8/20/25,0.8,Heads,AI
8/22/25,2.5,Heads,AI
8/26/25,1.26,Heads,AI
8/27/25,1.1,Tails,No AI
