"","Location"
"1","Virginia"
"2","North Carolina"
"3","Michigan"
"4","Pennsylvania"
"5","North Carolina"
"6","Maryland"
"7","North Carolina"
"8","Georgia"
"9","Pennsylvania"
"10","Pennsylvania"
"11","North Carolina"
"12","Minnesota"
"13","Massachusetts"
"14","North Carolina"
"15","New Jersey"
"16","Tennessee"
"17","Virginia"
"18","North Carolina"
"19","Foreign Countries"
"20","New York"
"21","Delaware"
"22","South Carolina"
"23","North Carolina"
"24","Massachusetts"
"25","Pennsylvania"
"26","New Jersey"
"27","North Carolina"
"28","New Jersey"
"29","Florida"
"30","Virginia"
"31","New York"
"32","Maryland"
"33","Colorado"
"34","Georgia"
"35","Ohio"
"36","North Carolina"
"37","Virginia"
"38","Massachusetts"
"39","Virginia"
"40","Florida"
"41","South Carolina"
"42","North Carolina"
"43","North Carolina"
"44","South Carolina"
"45","North Carolina"
"46","Virginia"
"47","Maryland"
"48","New Jersey"
"49","Massachusetts"
"50","New Jersey"
"51","Maryland"
"52","New York"
"53","Texas"
"54","Virginia"
"55","North Carolina"
"56","New Jersey"
"57","South Carolina"
"58","North Carolina"
"59","Virginia"
"60","New York"
"61","Massachusetts"
"62","North Carolina"
"63","South Carolina"
"64","Georgia"
"65","Massachusetts"
"66","Minnesota"
"67","New Jersey"
"68","North Carolina"
"69","North Carolina"
"70","Illinois"
"71","North Carolina"
"72","North Carolina"
"73","North Carolina"
"74","Foreign Countries"
"75","North Carolina"
"76","North Carolina"
"77","New Jersey"
"78","Tennessee"
"79","North Carolina"
"80","North Carolina"
"81","Rhode Island"
"82","New York"
"83","Maryland"
"84","New York"
"85","New York"
"86","Pennsylvania"
"87","Massachusetts"
"88","Virginia"
"89","Maryland"
"90","North Carolina"
"91","Maryland"
"92","New Jersey"
"93","Michigan"
"94","North Carolina"
"95","North Carolina"
"96","North Carolina"
"97","Virginia"
"98","Tennessee"
"99","North Carolina"
"100","Virginia"
"101","Virginia"
"102","Connecticut"
"103","New York"
"104","Connecticut"
"105","Pennsylvania"
"106","California"
"107","Foreign Countries"
"108","North Carolina"
"109","North Carolina"
"110","North Carolina"
"111","New York"
"112","Maryland"
"113","New Hampshire"
"114","Foreign Countries"
"115","Georgia"
"116","Tennessee"
"117","Texas"
"118","Massachusetts"
"119","Massachusetts"
"120","Minnesota"
"121","Illinois"
"122","North Carolina"
"123","Ohio"
"124","New York"
"125","North Carolina"
"126","New Jersey"
"127","Tennessee"
"128","North Carolina"
"129","Georgia"
"130","South Carolina"
"131","Wisconsin"
"132","Maine"
"133","North Carolina"
"134","Massachusetts"
"135","Massachusetts"
"136","New York"
"137","Maryland"
"138","South Carolina"
"139","North Carolina"
"140","Massachusetts"
"141","North Carolina"
"142","North Carolina"
"143","New Jersey"
