Name,Population-weighted tree cover,5-year change,Annual rainfall (inches),Average annual temperature (daily high),Total population,Population density (persons per sq mi),Tree cover in peer cities,List of peer cities
"Atlanta, Ga.",51.4,-1.3,56.7,72.9,5271022,2016,43.5,"Charlotte, N.C./S.C. // Nashville-Davidson, Tenn. // Birmingham, Ala. // Knoxville, Tenn. // Greenville, S.C."
"Austin, Texas",32.3,1.4,36.5,80.2,1891753,3012,21.4,"San Antonio, Texas // Dallas–Fort Worth–Arlington, Texas // Corpus Christi, Texas // Killeen, Texas // College Station–Bryan, Texas"
"Baltimore, Md.",38,1.5,50.4,65.9,2275319,3301,30.6,"Virginia Beach–Norfolk, Va. // Washington–Arlington, D.C./Va./Md. // Philadelphia, Pa./N.J./Del./Md. // Allentown–Bethlehem, Pa./N.J. // Lancaster–Manheim, Pa."
"Boston, Mass./N.H.",36.5,-1.7,50.2,60.9,4615839,2524,40.7,"Providence, R.I./Mass. // Hartford, Conn. // Bridgeport–Stamford, Conn./N.Y. // New Haven, Conn. // Worcester, Mass./Conn."
"Charlotte, N.C./S.C.",46.7,1.7,49.4,72.6,1491385,2083,47.4,"Raleigh, N.C. // Columbia, S.C. // Winston-Salem, N.C. // Greensboro, N.C. // Concord, N.C."
"Chicago, Ill./Ind.",24.1,-0.1,42.2,59.8,8733488,3646,27.8,"Detroit, Mich. // Indianapolis, Ind. // Milwaukee, Wis. // Grand Rapids, Mich. // Madison, Wis."
"Cincinnati, Ohio/Ky.",36.2,0,48.9,64.9,1766825,2299,28.3,"Indianapolis, Ind. // Columbus, Ohio // Louisville/Jefferson County, Ky./Ind. // Dayton, Ohio // Huntington, W.Va./Ky./Ohio"
"Cleveland, Ohio",33.5,0.2,46.1,60,1779091,2406,34.1,"Pittsburgh, Pa. // Columbus, Ohio // Detroit, Mich. // Akron, Ohio // Youngstown, Ohio"
"Columbus, Ohio",24.6,0.2,45.5,63.2,1611183,3071,32.7,"Indianapolis, Ind. // Cincinnati, Ohio/Ky. // Cleveland, Ohio // Pittsburgh, Pa. // Dayton, Ohio"
"Dallas–Fort Worth–Arlington, Texas",24.6,0.4,40.7,77.6,5886334,3253,23,"Houston, Texas // Austin, Texas // Oklahoma City, Okla. // McKinney–Frisco, Texas // Denton–Lewisville, Texas"
"Denver–Aurora, Colo.",16.7,-0.1,17.6,65.8,2714633,4098,17.9,"Colorado Springs, Colo. // Fort Collins, Colo. // Greeley, Colo. // Boulder, Colo. // Longmont, Colo."
"Detroit, Mich.",27.5,0.1,37.4,59,3837220,2867,31,"Cleveland, Ohio // Columbus, Ohio // Grand Rapids, Mich. // Toledo, Ohio/Mich. // Ann Arbor, Mich."
"Hartford, Conn.",39.5,-1.5,50.9,61.8,1065972,1888,40.3,"Bridgeport–Stamford, Conn./N.Y. // Providence, R.I./Mass. // New Haven, Conn. // Worcester, Mass./Conn. // Springfield, Mass./Conn."
"Houston, Texas",22.3,-0.9,53.2,80.7,5992473,3318,27.3,"Dallas–Fort Worth–Arlington, Texas // Austin, Texas // McKinney–Frisco, Texas // The Woodlands–Conroe, Texas // Galveston–Texas City, Texas"
"Indianapolis, Ind.",25,-0.9,47,62.9,1762241,2398,28.3,"Cincinnati, Ohio/Ky. // Columbus, Ohio // Louisville/Jefferson County, Ky./Ind. // Dayton, Ohio // Fort Wayne, Ind."
"Jacksonville, Fla.",42.7,-2.6,57.4,80.1,1298647,1981,39.7,"Orlando, Fla. // Charleston, S.C. // Tampa–St. Petersburg, Fla. // Daytona Beach–Palm Coast–Port Orange, Fla. // Gainesville, Fla."
"Kansas City, Mo./Kan.",34.1,0.5,42.8,65.7,1729391,2375,26.9,"St. Louis, Mo./Ill. // Omaha, Neb./Iowa // Des Moines, Iowa // Wichita, Kan. // Topeka, Kan."
"Las Vegas–Henderson–Paradise, Nev.",6.8,1.6,4.4,81.1,2202210,5053,9.3,"Riverside–San Bernardino, Calif. // Phoenix–Mesa–Scottsdale, Ariz. // Bakersfield, Calif. // Temecula–Murrieta–Menifee, Calif. // Palmdale–Lancaster, Calif."
"Los Angeles–Long Beach–Anaheim, Calif.",12.1,1.9,13.4,77,12263846,7207,15.4,"San Diego, Calif. // Riverside–San Bernardino, Calif. // Sacramento, Calif. // San Jose, Calif. // Fresno, Calif."
"Louisville/Jefferson County, Ky./Ind.",30,1.7,54.5,67.8,1012734,2437,30.5,"Nashville-Davidson, Tenn. // Indianapolis, Ind. // Cincinnati, Ohio/Ky. // Lexington-Fayette, Ky. // Evansville, Ind."
"Memphis, Tenn./Miss./Ark.",35.8,1.8,60.3,72.3,1090747,2205,38.2,"Nashville-Davidson, Tenn. // Birmingham, Ala. // Little Rock, Ark. // Huntsville, Ala. // Clarksville, Tenn./Ky."
"Miami–Fort Lauderdale, Fla.",22.7,0.6,69.1,84.2,6085550,4554,29.9,"Tampa–St. Petersburg, Fla. // Orlando, Fla. // Cape Coral, Fla. // Kissimmee–St. Cloud, Fla. // Port St. Lucie, Fla."
"Milwaukee, Wis.",26.9,-0.8,37.8,56.8,1345059,2830,28,"Grand Rapids, Mich. // Madison, Wis. // Rockford, Ill. // Round Lake Beach–McHenry–Grayslake, Ill./Wis. // Appleton, Wis."
"Minneapolis–St. Paul, Minn.",30.3,-1,34,55.1,2971446,2742,26.1,"Milwaukee, Wis. // Des Moines, Iowa // Madison, Wis. // Rochester, Minn. // St. Cloud, Minn."
"Nashville-Davidson, Tenn.",35.4,-1.2,57.6,70.5,1226712,2055,31.5,"Louisville/Jefferson County, Ky./Ind. // Knoxville, Tenn. // Huntsville, Ala. // Clarksville, Tenn./Ky. // Murfreesboro, Tenn."
"New York–Jersey City–Newark, N.Y./N.J.",27.5,-0.8,52,63.3,19382290,5623,36.8,"Philadelphia, Pa./N.J./Del./Md. // Washington–Arlington, D.C./Va./Md. // Boston, Mass./N.H. // Baltimore, Md. // Bridgeport–Stamford, Conn./N.Y."
"Oklahoma City, Okla.",18.5,0.4,38,72.6,1022115,2375,23.2,"Tulsa, Okla. // McKinney–Frisco, Texas // Wichita, Kan. // Denton–Lewisville, Texas // Norman, Okla."
"Orlando, Fla.",34.3,-1,55.6,83.5,1935562,2603,33.8,"Tampa–St. Petersburg, Fla. // Jacksonville, Fla. // Bradenton–Sarasota–Venice, Fla. // Palm Bay–Melbourne, Fla. // Kissimmee–St. Cloud, Fla."
"Philadelphia, Pa./N.J./Del./Md.",31.1,1.9,51.4,64.6,5884225,3016,34.1,"Washington–Arlington, D.C./Va./Md. // Baltimore, Md. // New York–Jersey City–Newark, N.Y./N.J. // Bridgeport–Stamford, Conn./N.Y. // Allentown–Bethlehem, Pa./N.J."
"Phoenix–Mesa–Scottsdale, Ariz.",8.5,-0.2,8.4,87.2,4061814,3600,8.2,"Las Vegas–Henderson–Paradise, Nev. // Tucson, Ariz. // Phoenix West–Goodyear–Avondale, Ariz. // Indio–Palm Desert–Palm Springs, Calif. // Yuma, Ariz./Calif."
"Pittsburgh, Pa.",41.6,5.3,46.9,61.9,1877259,2031,32.9,"Cleveland, Ohio // Columbus, Ohio // Akron, Ohio // Youngstown, Ohio // Canton, Ohio"
"Portland, Ore./Wash.",26.7,1.1,45.5,63.1,2157813,4051,28.5,"Seattle–Tacoma, Wash. // Salem, Ore. // Eugene, Ore. // Marysville, Wash. // Bellingham, Wash."
"Providence, R.I./Mass.",37.5,-1.4,52.2,61.1,1400748,2212,39.8,"Hartford, Conn. // Bridgeport–Stamford, Conn./N.Y. // Worcester, Mass./Conn. // Springfield, Mass./Conn. // Boston, Mass./N.H."
"Raleigh, N.C.",50.3,1.6,51.8,71.6,1185466,2040,45.6,"Richmond, Va. // Charlotte, N.C./S.C. // Durham, N.C. // Greensboro, N.C. // Fayetteville, N.C."
"Richmond, Va.",43.8,-2,49.4,70,1114422,2132,45.4,"Raleigh, N.C. // Virginia Beach–Norfolk, Va. // Durham, N.C. // Greensboro, N.C. // Fredericksburg, Va."
"Riverside–San Bernardino, Calif.",10.2,-1.5,11.8,79.8,2425244,3790,13,"San Diego, Calif. // Fresno, Calif. // Mission Viejo–Lake Forest–Laguna Niguel, Calif. // Bakersfield, Calif. // Temecula–Murrieta–Menifee, Calif."
"Sacramento, Calif.",19.6,0.9,20.4,76.2,1981568,4185,16.9,"San Jose, Calif. // Concord–Walnut Creek, Calif. // Stockton, Calif. // Modesto, Calif. // Antioch, Calif."
"Salt Lake City, Utah",13.4,0.4,17.6,65.3,1183941,3878,16.4,"Provo–Orem, Utah // Ogden–Layton, Utah // Boise City, Idaho // Logan, Utah // Flagstaff, Ariz."
"San Antonio, Texas",29.1,0.9,31.4,81.5,2056383,3316,19,"Austin, Texas // McAllen, Texas // Corpus Christi, Texas // Killeen, Texas // New Braunfels, Texas"
"San Diego, Calif.",13.4,5.5,12.3,73.2,3119968,4516,12.3,"Riverside–San Bernardino, Calif. // Los Angeles–Long Beach–Anaheim, Calif. // Mission Viejo–Lake Forest–Laguna Niguel, Calif. // Temecula–Murrieta–Menifee, Calif. // Oxnard–San Buenaventura (Ventura), Calif."
"San Francisco–Oakland, Calif.",14.8,-0.1,22.3,68.9,3514415,6539,19.1,"Sacramento, Calif. // San Jose, Calif. // Concord–Walnut Creek, Calif. // Santa Rosa, Calif. // Salinas, Calif."
"San Jose, Calif.",19.4,2.1,16.1,71.9,1854121,6132,16.2,"Sacramento, Calif. // San Francisco–Oakland, Calif. // Concord–Walnut Creek, Calif. // Antioch, Calif. // Salinas, Calif."
"Seattle–Tacoma, Wash.",33,2.5,44.9,60.5,3580758,3431,27.2,"Portland, Ore./Wash. // Salem, Ore. // Eugene, Ore. // Marysville, Wash. // Bellingham, Wash."
"St. Louis, Mo./Ill.",32.8,0.7,46.8,66.8,2218390,2398,28.5,"Indianapolis, Ind. // Kansas City, Mo./Kan. // Louisville/Jefferson County, Ky./Ind. // Springfield, Mo. // Springfield, Ill."
"Tampa–St. Petersburg, Fla.",33.9,-1.7,57.5,82.9,2857953,2697,33.9,"Orlando, Fla. // Jacksonville, Fla. // Bradenton–Sarasota–Venice, Fla. // Palm Bay–Melbourne, Fla. // Kissimmee–St. Cloud, Fla."
"Virginia Beach–Norfolk, Va.",31.5,-0.9,54.4,70.6,1477838,2837,45.4,"Raleigh, N.C. // Richmond, Va. // Baltimore, Md. // Durham, N.C. // Washington–Arlington, D.C./Va./Md."
"Washington–Arlington, D.C./Va./Md.",39.7,1.1,48.4,66.5,5231177,3931,33.7,"Philadelphia, Pa./N.J./Del./Md. // Baltimore, Md. // Virginia Beach–Norfolk, Va. // Richmond, Va. // Lancaster–Manheim, Pa."
"Akron, Ohio",38.5,0.8,41.2,60.6,596621,1802,32.4,"Toledo, Ohio/Mich. // Youngstown, Ohio // Canton, Ohio // Lorain–Elyria, Ohio // Cleveland, Ohio"
"Albany–Schenectady, N.Y.",40,-1.8,45,59.9,652960,2275,40,"New Haven, Conn. // Springfield, Mass./Conn. // Syracuse, N.Y. // Bridgeport–Stamford, Conn./N.Y. // Poughkeepsie–Newburgh, N.Y."
"Albuquerque, N.M.",10.2,0.3,8.7,72.4,775925,2924,9.6,"El Paso, Texas/N.M. // Las Cruces, N.M. // Grand Junction, Colo. // Pueblo, Colo. // Los Lunas, N.M."
"Allentown–Bethlehem, Pa./N.J.",26.5,2.1,53.7,62.5,674468,2538,30.7,"Harrisburg, Pa. // Lancaster–Manheim, Pa. // Trenton, N.J. // Atlantic City–Ocean City–Villas, N.J. // Reading, Pa."
"Bakersfield, Calif.",8.4,0.8,6.9,79.6,579515,4345,11.9,"Temecula–Murrieta–Menifee, Calif. // Fresno, Calif. // Palmdale–Lancaster, Calif. // Santa Clarita, Calif. // Visalia, Calif."
"Baton Rouge, La.",34.6,-1.5,70.2,78.8,680764,1689,37.2,"Mobile, Ala. // Gulfport–Biloxi, Miss. // Lafayette, La. // Houma, La. // Mandeville–Covington, La."
"Birmingham, Ala.",49.8,0.1,64.1,74.4,840127,1634,40.7,"Chattanooga, Tenn./Ga. // Huntsville, Ala. // Columbus, Ga./Ala. // Montgomery, Ala. // Tuscaloosa, Ala."
"Bradenton–Sarasota–Venice, Fla.",32.5,1.1,54.1,83.9,800083,1801,28.4,"Cape Coral, Fla. // Palm Bay–Melbourne, Fla. // Kissimmee–St. Cloud, Fla. // Winter Haven, Fla. // Lakeland, Fla."
"Bridgeport–Stamford, Conn./N.Y.",38.6,-1.9,51.2,61.8,999000,2264,39.1,"Hartford, Conn. // Providence, R.I./Mass. // Albany–Schenectady, N.Y. // New Haven, Conn. // Springfield, Mass./Conn."
"Buffalo, N.Y.",24.8,-1.5,43.6,58,983971,2858,33.3,"Rochester, N.Y. // Cleveland, Ohio // Syracuse, N.Y. // Scranton, Pa. // Erie, Pa."
"Cape Coral, Fla.",23.3,-2.1,60.1,85.3,637725,1688,31.3,"Bradenton–Sarasota–Venice, Fla. // Port St. Lucie, Fla. // Bonita Springs–Estero, Fla. // Lakeland, Fla. // Port Charlotte–North Port, Fla."
"Charleston, S.C.",43.1,-2.6,57.9,76.5,714405,2067,42.4,"Columbia, S.C. // Augusta-Richmond County, Ga./S.C. // Fayetteville, N.C. // Myrtle Beach–North Myrtle Beach, S.C./N.C. // Savannah, Ga."
"Colorado Springs, Colo.",15.7,-1.5,17.7,64.2,659690,3282,14.3,"Fort Collins, Colo. // Denver–Aurora, Colo. // Greeley, Colo. // Lafayette–Erie–Louisville, Colo. // Castle Rock, Colo."
"Columbia, S.C.",48.4,-0.2,50.3,75.8,636443,1687,45.3,"Augusta-Richmond County, Ga./S.C. // Concord, N.C. // Fayetteville, N.C. // Charlotte, N.C./S.C. // Rock Hill, S.C."
