"City","TreeCover","Change_5years","AvgHighTemp"
"Rancho Calaveras, Calif.",24.1,4.5,75.9
"Decatur, Ill.",29.6,0.3,63.2
"Bloomington–Normal, Ill.",17.8,0.6,62.1
"Four Corners, Fla.",34.6,0.7,84.3
"Gallup, N.M.",4.2,1.2,67.1
"Camden, Maine",64.8,4.6,55.1
"Arlington, Tenn.",36.8,1.6,72
"McAllen, Texas",13.8,1.8,86.8
"Moab, Utah",17.2,1.4,70.7
"Wendell, N.C.",42.7,-3.8,71.9
"Clear Lake, Iowa",21.5,-0.9,56.1
"Battle Creek, Mich.",40,0.5,59
"Arab, Ala.",43.9,3.2,71.1
"Whitehall, Mich.",58,0.7,57.1
"Tyler, Texas",39.9,-2.5,77.3
"Winters, Calif.",15,0.2,76.7
"Cheboygan, Mich.",34.7,0.4,53.4
"Tucson, Ariz.",14.6,4.5,85.3
"Summerset, S.D.",14.2,-1.9,59.2
"Dayton, Texas",32.7,-0.8,79.5
"Fremont, Ohio",21,1.7,60.9
"Hartford City, Ind.",21.3,-1.6,61.5
"New Bern, N.C.",44.4,2.4,73.8
"Ocean Pines–Ocean City, Md./Del.",35.5,2,66.7
"East Hampton North–Springs–Northwest Harbor, N.Y.",68.2,-2.2,60.7
"Shelbyville, Ill.",26.6,-0.2,64.2
"Rumford, Maine",47,7.2,54.6
"Krum, Texas",11.5,2.1,76.6
"Coos Bay, Ore.",33.2,2,60.4
"Brookville, Pa.",38.1,3.3,59.2
"Gilroy–Morgan Hill, Calif.",16.7,2.3,72.5
"Canandaigua, N.Y.",33.1,-2.9,57.8
"Eaton Rapids, Mich.",39.3,2.9,58.6
"Lodi, Calif.",12.4,0.3,76.8
"Indiana–White, Pa.",29.1,2.3,60.4
"Manhattan, Kan.",30.4,2.7,67.1
"Mendota, Ill.",20.5,-1.9,59.5
"Hazlehurst, Ga.",44.4,-2.5,78.3
"Cottage Grove, Ore.",23.6,1.2,64.2
"Hillsdale, Mich.",40.7,3.4,58.5
"Grenada, Miss.",38.3,-0.1,74.7
"Jewett City, Conn.",42.6,-2,61
"Richmond, Ky.",22.5,3.5,66.7
"Rome, Ga.",48.6,-0.3,73.6
"Littlefield, Texas",10.2,0.9,74.6
"Thief River Falls, Minn.",20.3,0.1,49.9
"Sheridan, Wyo.",13.4,-0.5,59.9
"Princeton, Ill.",20.5,-1.3,60.2
"Lamont, Calif.",14.1,3.1,80
"Vail, Colo.",27.2,-0.7,53.5
"Cuero, Texas",23.4,0.7,81.9
"Lincolnton, N.C.",49.5,3.2,71.6
"Fort Atkinson, Wis.",28.8,1.2,57.4
"Poolesville, Md.",35.8,-0.2,65.7
"Breese, Ill.",12.5,-0.9,66.4
"Salem, Mo.",27.4,-3.6,67.4
"Owosso, Mich.",29.2,1.6,58.3
"Las Cruces, N.M.",8.5,3,79
"Macomb, Ill.",24.5,-2,62
"Milan, Tenn.",33.7,3.3,70.7
"Towanda, Pa.",32.1,6.5,60.3
"Conesus Lake, N.Y.",39.7,-3.3,58.3
"Orland, Calif.",12.7,2.5,77.2
"Great Bend, Kan.",12,0.2,69
"Middlesborough, Ky./Tenn.",35.4,2.3,68.1
"Casa Grande, Ariz.",5.3,0.6,87.6
"East Tawas, Mich.",47.4,-2,55.5
"Dos Palos, Calif.",9,-0.1,77.3
"Franklin, N.C.",54.7,5,69
"Seneca, S.C.",58.1,-0.4,72.9
"Marion, N.C.",54.9,3.4,70.4
"Excelsior Springs, Mo.",42.3,1.2,64.8
"Allegan, Mich.",56.5,1.2,59.2
"Montevideo, Minn.",23.6,1.6,55.7
"Billings, Mont.",16.8,2,61.1
"Sherman–Denison, Texas",34,0.7,74.9
"Canton, Ohio",29.6,0.3,61.1
"Raleigh, N.C.",50.3,1.6,71.6
"Silver Creek, N.Y.",32.1,-4.5,58.5
"Nashville, Ga.",41.2,-0.7,78.8
"Hanover, Pa.",19.7,3.6,63.9
"Borger, Texas",8.4,1.1,73.9
"Ramona, Calif.",18.2,6.5,75.5
"Adel, Ga.",36.7,-0.7,78.9
"Seaside–Monterey–Pacific Grove, Calif.",21.4,2.3,67.8
"Sturgeon Bay, Wis.",37,-1.3,53
"Newton, Iowa",21.3,-5.3,59.8
"York, Neb.",9.2,-9.4,63.1
"Beverly Hills–Homosassa Springs–Pine Ridge, Fla.",53.3,-2,82.8
"Brewton, Ala.",45.5,2,78.3
"Red Wing, Minn.",40.9,0.4,55.1
"Oswego, N.Y.",37.7,-0.1,57.1
"Mount Pleasant, Texas",33.5,0.5,76.7
"Dundee, Mich.",16.7,1.8,60.2
"Richmond, Mich.",28.2,0.2,58
"South Lake Tahoe, Calif./Nev.",42,-1.4,59.5
"Emporia, Va.",41,-1.4,71
"Eagle Mountain, Utah",2.6,1.2,64.4
"Brigham City, Utah",11.3,-0.5,62.1
"McKinleyville, Calif.",29.5,2.7,62.2
